match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2018144,Mohamed Talaat,,Home,Luis Hinestroza,Cross,
2018145,Hossam Paulo,,Away,Hossam Paulo,Penalty,1.0
2018145,Mohamed Grendo,,Home,Mohamed Koffi,Unknown,
2018146,Afsha,,Home,,Unknown,
2018146,Nabil Dunga,,Home,,Unknown,
2018146,Mohamed Farouk,,Home,,Unknown,
2018146,Ahmed El Sheikh,,Away,,Unknown,
2018147,Mohamed Mosaad,,Away,Moussa Diawara,Cross,
2018147,Mohamed Helal,,Home,Mohamed Abdelaati,Pass,
2018147,Ghanam Mohamed,,Away,Abdelrahman Farouk,Pass,
2018148,Oumed Oukri,,Home,,Unknown,
2018148,Razack Cissé,,Away,Mahmoud Rizk,Header,
2018149,Odah Marshal,,Home,Mohamed Bassiouny,Pass,
2018149,Mahmoud Fathallah,,Away,Salah Amin,Penalty,1.0
2018150,Ahmed Samy,,Home,Mostafa Mohamed,Cross,
2018152,Ahmed Hassan Mekky,,Away,Ahmed Ali,Cross,
2018152,Benson Shilongo,,Home,Abdelrahman Magdi,Pass,
2018152,Mahmoud Metwaly,,Home,Benson Shilongo,Penalty,1.0
2018152,Ahmed Hassan Mekky,,Away,Sherif Dabo,Cross,
2018153,Ibrahima Ndiaye,,Home,Mohamed Mahmoud,Pass,
2018153,Ibrahim Aboul-Yazid,,Away,Islam Gaber,Corner,
2018153,Mohamed Mahmoud,,Home,Elsayed Salem,Corner,
2018153,Emmanuel Karbogi,,Away,Islam Gaber,Free kick,
2018154,El-Hani Soliman,1.0,Home,Hassan El Shami,Corner,
2018154,Ahmed Ali,,Home,Mohamed Talaat,Header,
2018154,Gedo,,Away,Khaled Kamar,Unknown,
2018155,John Antwi,,Away,Paulin Voavy,Cross,
2018155,Sayed Farid,,Home,Hossam Hassan,Penalty,1.0
2018156,Ramy Sabry,,Away,Ali Fawzi,Cross,
2018156,Mohamed Farouk,,Home,,Unknown,
2018157,Moses Odo,,Home,Abdallah Gomaa Awad,Cross,
2018157,Ahmed El Sheikh,,Home,Ibrahim Abdel-Khalik,Pass,
2018157,Mahmoud Hamada,,Away,Mohamed Mosaad,Unknown,
2018158,Islam Gamal,,Home,Mostafa Mohamed,Penalty,1.0
2018158,Mahmoud Fathallah,,Away,Islam El Far,Penalty,1.0
2018158,Mostafa Mohamed,,Home,Mohamed Rizk,Free kick,
2018159,Kahraba,,Home,Youssef Obama,Pass,
2018159,Ferjani Sassi,,Home,Mostafa Fathi,Penalty,1.0
2018160,Islam Roshdi,,Away,Mohamed Nadi,Cross,
2018160,Louay Wael,,Away,Amr El Saadawy,Corner,
2018161,Walid Azaro,,Away,Saleh Gomaa,Pass,
2018161,Karim Bambo,,Home,Abdelrahman Magdi,Pass,
2018162,Mohamed Helal,,Away,Elsayed Salem,Cross,
2018162,Mohamed Mahmoud,,Away,Mohamed Helal,Penalty,1.0
2018163,Khaled El Ghandour,,Home,Khaled Kamar,Pass,
